TABLE 2.2(Continued),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
S.No.,Cities,Insult to The Modesty of Women *,,,,,,,,,,,,,,
,,Insult To The Modesty of Women (Total),,,At Office Premises,,,Other Places Related To Work,,,In Public Transport System,,,Places Other Than (Previous Columns),,
29,Kota,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
30,Kozhikode,9,9,0.8,0,0,0.0,0,0,0.0,0,0,0.0,9,9,0.8
31,Lucknow,2,2,0.1,2,2,0.1,0,0,0.0,0,0,0.0,0,0,0.0
32,Ludhiana,19,19,2.6,0,0,0.0,0,0,0.0,0,0,0.0,19,19,2.6
33,Madurai,1,1,0.1,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.1
34,Malappuram,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
35,Meerut,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Mumbai,363,369,4.3,4,4,0.0,23,23,0.3,1,1,0.0,335,341,3.9
37,Nagpur,25,25,2.0,0,0,0.0,0,0,0.0,0,0,0.0,25,25,2.0
38,Nasik,3,3,0.4,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.4
39,Patna,56,56,5.8,0,0,0.0,0,0,0.0,0,0,0.0,56,56,5.8
40,Pune,98,98,4.1,0,0,0.0,6,6,0.3,0,0,0.0,92,92,3.8
41,Raipur,3,3,0.6,0,0,0.0,3,3,0.6,0,0,0.0,0,0,0.0
42,Rajkot,5,5,0.8,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.8
43,Ranchi,8,8,1.5,0,0,0.0,0,0,0.0,0,0,0.0,8,8,1.5
44,Srinagar,44,44,7.4,0,0,0.0,0,0,0.0,0,0,0.0,44,44,7.4
45,Surat,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
46,Thiruvananthapuram,15,15,1.7,0,0,0.0,0,0,0.0,0,0,0.0,15,15,1.7
47,Thrissur,11,11,1.1,0,0,0.0,0,0,0.0,0,0,0.0,11,11,1.1
48,Tiruch irapalli,3,3,0.6,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.6
49,Vadodara,8,8,0.9,0,0,0.0,0,0,0.0,0,0,0.0,8,8,0.9
50,Varanasi,3,3,0.4,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.4
51,Vasai Virar,16,16,2.8,0,0,0.0,0,0,0.0,0,0,0.0,16,16,2.8
52,Vijayawada,212,212,28.6,0,0,0.0,0,0,0.0,1,1,0.1,211,211,28.5
53,Vishakhapatnam,112,112,13.1,0,0,0.0,0,0,0.0,0,0,0.0,112,112,13.1
,TOTAL CITIES,2894,2904,3.8,25,25,0.0,250,250,0.3,19,19,0.0,2600,2610,3.4
,,,,,,,,,,,,,,,,
"For women related crimes, the crime rate has been calculated using Female Population    TABLE    2.2-    Page:    18    of    22",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Col. 199 = Col 202+ Col. 205+ Col. 208 + Col. 211,,,,,,,,,,,,,,,,
Col. 200 = Col 203+ Col. 206+ Col. 209 + Col. 212,,,,,,,,,,,,,,,,
