city,year,crime,incidences,rate
COIMBATORE,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",0,0
DELHI (CITY),2010,Murder (Sec. 302 IPC),453,3.5
DELHI (CITY),2010,Attempt To Commit Murder (Sec. 307 IPC),260,2
DELHI (CITY),2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",63,0.5
DHANBAD,2010,Murder (Sec. 302 IPC),17,1.6
DHANBAD,2010,Attempt To Commit Murder (Sec. 307 IPC),10,0.9
DHANBAD,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",7,0.7
FARIDABAD,2010,Murder (Sec. 302 IPC),70,6.6
FARIDABAD,2010,Attempt To Commit Murder (Sec. 307 IPC),49,4.6
FARIDABAD,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",5,0.5
HYDERABAD,2010,Murder (Sec. 302 IPC),134,2.4
HYDERABAD,2010,Attempt To Commit Murder (Sec. 307 IPC),143,2.6
HYDERABAD,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",8,0.1
INDORE,2010,Murder (Sec. 302 IPC),80,4.9
INDORE,2010,Attempt To Commit Murder (Sec. 307 IPC),129,7.9
INDORE,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",2,0.1
JABALPUR,2010,Murder (Sec. 302 IPC),48,4.3
JABALPUR,2010,Attempt To Commit Murder (Sec. 307 IPC),71,6.4
JABALPUR,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",0,0
JAIPUR,2010,Murder (Sec. 302 IPC),65,2.8
JAIPUR,2010,Attempt To Commit Murder (Sec. 307 IPC),68,2.9
JAIPUR,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",7,0.3
JAMSHEDPUR,2010,Murder (Sec. 302 IPC),52,4.7
JAMSHEDPUR,2010,Attempt To Commit Murder (Sec. 307 IPC),27,2.5
JAMSHEDPUR,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",8,0.7
KANPUR,2010,Murder (Sec. 302 IPC),150,5.6
KANPUR,2010,Attempt To Commit Murder (Sec. 307 IPC),109,4.1
KANPUR,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",41,1.5
KOCHI,2010,Murder (Sec. 302 IPC),4,0.3
KOCHI,2010,Attempt To Commit Murder (Sec. 307 IPC),11,0.8
KOCHI,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",3,0.2
KOLKATA,2010,Murder (Sec. 302 IPC),49,0.4
KOLKATA,2010,Attempt To Commit Murder (Sec. 307 IPC),55,0.4
KOLKATA,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",43,0.3
LUCKNOW,2010,Murder (Sec. 302 IPC),83,3.7
LUCKNOW,2010,Attempt To Commit Murder (Sec. 307 IPC),67,3
LUCKNOW,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",19,0.8
LUDHIANA,2010,Murder (Sec. 302 IPC),81,5.8
LUDHIANA,2010,Attempt To Commit Murder (Sec. 307 IPC),81,5.8
LUDHIANA,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",12,0.9
MADURAI,2010,Murder (Sec. 302 IPC),34,2.8
MADURAI,2010,Attempt To Commit Murder (Sec. 307 IPC),50,4.2
MADURAI,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",0,0
MEERUT,2010,Murder (Sec. 302 IPC),34,2.9
MEERUT,2010,Attempt To Commit Murder (Sec. 307 IPC),55,4.7
MEERUT,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",5,0.4
MUMBAI,2010,Murder (Sec. 302 IPC),228,1.4
MUMBAI,2010,Attempt To Commit Murder (Sec. 307 IPC),170,1
MUMBAI,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",7,0
NAGPUR,2010,Murder (Sec. 302 IPC),88,4.1
NAGPUR,2010,Attempt To Commit Murder (Sec. 307 IPC),69,3.3
NAGPUR,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",5,0.2
NAS IK,2010,Murder (Sec. 302 IPC),37,3.2
NAS IK,2010,Attempt To Commit Murder (Sec. 307 IPC),32,2.8
NAS IK,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",1,0.1
PATNA,2010,Murder (Sec. 302 IPC),130,7.6
PATNA,2010,Attempt To Commit Murder (Sec. 307 IPC),20,1.2
PATNA,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",4,0.2
PUNE,2010,Murder (Sec. 302 IPC),129,3.4
PUNE,2010,Attempt To Commit Murder (Sec. 307 IPC),94,2.5
PUNE,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",6,0.2
RAJKOT,2010,Murder (Sec. 302 IPC),38,3.8
RAJKOT,2010,Attempt To Commit Murder (Sec. 307 IPC),22,2.2
RAJKOT,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",1,0.1
SURAT,2010,Murder (Sec. 302 IPC),87,3.1
SURAT,2010,Attempt To Commit Murder (Sec. 307 IPC),19,0.7
SURAT,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",1,0
VADODARA,2010,Murder (Sec. 302 IPC),23,1.5
VADODARA,2010,Attempt To Commit Murder (Sec. 307 IPC),25,1.7
VADODARA,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",1,0.1
VARANASI,2010,Murder (Sec. 302 IPC),15,1.2
VARANASI,2010,Attempt To Commit Murder (Sec. 307 IPC),34,2.8
VARANASI,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",15,1.2
VIJAYAWADA,2010,Murder (Sec. 302 IPC),33,3.3
VIJAYAWADA,2010,Attempt To Commit Murder (Sec. 307 IPC),49,4.8
VIJAYAWADA,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",1,0.1
VISHAKHAPATNAM,2010,Murder (Sec. 302 IPC),24,1.8
VISHAKHAPATNAM,2010,Attempt To Commit Murder (Sec. 307 IPC),25,1.9
VISHAKHAPATNAM,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",4,0.3
AGRA,2010,Total Rape,13,1
AGRA,2010,Custodial Rape,0,0
AGRA,2010,Others,13,1
AHMEDABAD,2010,Total Rape,49,1.1
AHMEDABAD,2010,Custodial Rape,0,0
AHMEDABAD,2010,Others,49,1.1
ALLAHABAD,2010,Total Rape,7,0.7
ALLAHABAD,2010,Custodial Rape,0,0
ALLAHABAD,2010,Others,7,0.7
AMRITSAR,2010,Total Rape,24,2.4
AMRITSAR,2010,Custodial Rape,0,0
AMRITSAR,2010,Others,24,2.4
ASANSOL,2010,Total Rape,18,1.6
ASANSOL,2010,Custodial Rape,0,0
ASANSOL,2010,Others,18,1.6
BENGALURU,2010,Total Rape,65,1.1
BENGALURU,2010,Custodial Rape,0,0
BENGALURU,2010,Others,65,1.1
BHOPAL,2010,Total Rape,73,5
BHOPAL,2010,Custodial Rape,0,0
BHOPAL,2010,Others,73,5
CHENNAI,2010,Total Rape,47,0.7
CHENNAI,2010,Custodial Rape,0,0
CHENNAI,2010,Others,47,0.7
COIMBATORE,2010,Total Rape,15,1
COIMBATORE,2010,Custodial Rape,0,0
COIMBATORE,2010,Others,15,1
DELHI (CITY),2010,Total Rape,414,3.2
DELHI (CITY),2010,Custodial Rape,0,0
DELHI (CITY),2010,Others,414,3.2
DHANBAD,2010,Total Rape,5,0.5
DHANBAD,2010,Custodial Rape,0,0
DHANBAD,2010,Others,5,0.5
FARIDABAD,2010,Total Rape,51,4.8
FARIDABAD,2010,Custodial Rape,0,0
FARIDABAD,2010,Others,51,4.8
HYDERABAD,2010,Total Rape,45,0.8
HYDERABAD,2010,Custodial Rape,0,0
HYDERABAD,2010,Others,45,0.8
INDORE,2010,Total Rape,69,4.2
INDORE,2010,Custodial Rape,0,0
INDORE,2010,Others,69,4.2
JABALPUR,2010,Total Rape,81,7.3
JABALPUR,2010,Custodial Rape,0,0
JABALPUR,2010,Others,81,7.3
JAIPUR,2010,Total Rape,71,3.1
JAIPUR,2010,Custodial Rape,0,0
JAIPUR,2010,Others,71,3.1
JAMSHEDPUR,2010,Total Rape,16,1.5
JAMSHEDPUR,2010,Custodial Rape,0,0
JAMSHEDPUR,2010,Others,16,1.5
KANPUR,2010,Total Rape,42,1.6
KANPUR,2010,Custodial Rape,0,0
KANPUR,2010,Others,42,1.6
KOCHI,2010,Total Rape,20,1.5
KOCHI,2010,Custodial Rape,0,0
KOCHI,2010,Others,20,1.5
KOLKATA,2010,Total Rape,32,0.2
KOLKATA,2010,Custodial Rape,0,0
KOLKATA,2010,Others,32,0.2
LUCKNOW,2010,Total Rape,52,2.3
LUCKNOW,2010,Custodial Rape,0,0
LUCKNOW,2010,Others,52,2.3
LUDHIANA,2010,Total Rape,52,3.7
LUDHIANA,2010,Custodial Rape,0,0
LUDHIANA,2010,Others,52,3.7
MADURAI,2010,Total Rape,3,0.3
MADURAI,2010,Custodial Rape,0,0
MADURAI,2010,Others,3,0.3
MEERUT,2010,Total Rape,19,1.6
MEERUT,2010,Custodial Rape,0,0
MEERUT,2010,Others,19,1.6
MUMBAI,2010,Total Rape,194,1.2
MUMBAI,2010,Custodial Rape,0,0
MUMBAI,2010,Others,194,1.2
NAGPUR,2010,Total Rape,58,2.7
NAGPUR,2010,Custodial Rape,0,0
NAGPUR,2010,Others,58,2.7
NAS IK,2010,Total Rape,30,2.6
NAS IK,2010,Custodial Rape,0,0
NAS IK,2010,Others,30,2.6
PATNA,2010,Total Rape,25,1.5
PATNA,2010,Custodial Rape,0,0
PATNA,2010,Others,25,1.5
PUNE,2010,Total Rape,91,2.4
PUNE,2010,Custodial Rape,0,0
PUNE,2010,Others,91,2.4
RAJKOT,2010,Total Rape,12,1.2
RAJKOT,2010,Custodial Rape,0,0
RAJKOT,2010,Others,12,1.2
SURAT,2010,Total Rape,23,0.8
SURAT,2010,Custodial Rape,0,0
SURAT,2010,Others,23,0.8
VADODARA,2010,Total Rape,7,0.5
VADODARA,2010,Custodial Rape,0,0
VADODARA,2010,Others,7,0.5
VARANASI,2010,Total Rape,2,0.2
VARANASI,2010,Custodial Rape,0,0
VARANASI,2010,Others,2,0.2
VIJAYAWADA,2010,Total Rape,25,2.5
VIJAYAWADA,2010,Custodial Rape,0,0
VIJAYAWADA,2010,Others,25,2.5
VISHAKHAPATNAM,2010,Total Rape,53,4
VISHAKHAPATNAM,2010,Custodial Rape,0,0
VISHAKHAPATNAM,2010,Others,53,4
AGRA,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",171,12.9
AGRA,2010,Kidnapping & Abduction of women and girls,145,11
AGRA,2010,Kidnapping & Abduction of others,26,2
AGRA,2010,Dacoity (Sec. 395-398 IPC),2,0.2
AHMEDABAD,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",207,4.6
AHMEDABAD,2010,Kidnapping & Abduction of women and girls,177,3.9
AHMEDABAD,2010,Kidnapping & Abduction of others,30,0.7
AHMEDABAD,2010,Dacoity (Sec. 395-398 IPC),26,0.6
ALLAHABAD,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",40,3.8
ALLAHABAD,2010,Kidnapping & Abduction of women and girls,30,2.9
ALLAHABAD,2010,Kidnapping & Abduction of others,10,1
ALLAHABAD,2010,Dacoity (Sec. 395-398 IPC),2,0.2
AMRITSAR,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",51,5
AMRITSAR,2010,Kidnapping & Abduction of women and girls,43,4.3
AMRITSAR,2010,Kidnapping & Abduction of others,8,0.8
AMRITSAR,2010,Dacoity (Sec. 395-398 IPC),3,0.3
ASANSOL,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",21,1.9
ASANSOL,2010,Kidnapping & Abduction of women and girls,13,1.2
ASANSOL,2010,Kidnapping & Abduction of others,8,0.7
ASANSOL,2010,Dacoity (Sec. 395-398 IPC),4,0.4
BENGALURU,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",513,9
BENGALURU,2010,Kidnapping & Abduction of women and girls,29,0.5
BENGALURU,2010,Kidnapping & Abduction of others,484,8.5
BENGALURU,2010,Dacoity (Sec. 395-398 IPC),66,1.2
BHOPAL,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",59,4.1
BHOPAL,2010,Kidnapping & Abduction of women and girls,53,3.6
BHOPAL,2010,Kidnapping & Abduction of others,6,0.4
BHOPAL,2010,Dacoity (Sec. 395-398 IPC),6,0.4
CHENNAI,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",47,0.7
CHENNAI,2010,Kidnapping & Abduction of women and girls,30,0.5
CHENNAI,2010,Kidnapping & Abduction of others,17,0.3
CHENNAI,2010,Dacoity (Sec. 395-398 IPC),2,0
COIMBATORE,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",22,1.5
COIMBATORE,2010,Kidnapping & Abduction of women and girls,10,0.7
COIMBATORE,2010,Kidnapping & Abduction of others,12,0.8
COIMBATORE,2010,Dacoity (Sec. 395-398 IPC),1,0.1
DELHI (CITY),2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",2629,20.6
DELHI (CITY),2010,Kidnapping & Abduction of women and girls,1422,11.1
DELHI (CITY),2010,Kidnapping & Abduction of others,1207,9.4
DELHI (CITY),2010,Dacoity (Sec. 395-398 IPC),30,0.2
DHANBAD,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",46,4.3
DHANBAD,2010,Kidnapping & Abduction of women and girls,40,3.8
DHANBAD,2010,Kidnapping & Abduction of others,6,0.6
DHANBAD,2010,Dacoity (Sec. 395-398 IPC),16,1.5
FARID AB AD,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",102,9.7
FARID AB AD,2010,Kidnapping & Abduction of women and girls,86,8.2
FARID AB AD,2010,Kidnapping & Abduction of others,16,1.5
FARID AB AD,2010,Dacoity (Sec. 395-398 IPC),9,0.9
HYDERABAD,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",121,2.2
HYDERABAD,2010,Kidnapping & Abduction of women and girls,41,0.7
HYDERABAD,2010,Kidnapping & Abduction of others,80,1.4
HYDERABAD,2010,Dacoity (Sec. 395-398 IPC),7,0.1
INDORE,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",30,1.8
INDORE,2010,Kidnapping & Abduction of women and girls,23,1.4
INDORE,2010,Kidnapping & Abduction of others,7,0.4
INDORE,2010,Dacoity (Sec. 395-398 IPC),5,0.3
JABALPUR,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",27,2.4
JABALPUR,2010,Kidnapping & Abduction of women and girls,25,2.2
JABALPUR,2010,Kidnapping & Abduction of others,2,0.2
JABALPUR,2010,Dacoity (Sec. 395-398 IPC),1,0.1
JAIPUR,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",207,8.9
JAIPUR,2010,Kidnapping & Abduction of women and girls,193,8.3
JAIPUR,2010,Kidnapping & Abduction of others,14,0.6
JAIPUR,2010,Dacoity (Sec. 395-398 IPC),4,0.2
JAMSHEDPUR,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",43,3.9
JAMSHEDPUR,2010,Kidnapping & Abduction of women and girls,25,2.3
JAMSHEDPUR,2010,Kidnapping & Abduction of others,18,1.6
JAMSHEDPUR,2010,Dacoity (Sec. 395-398 IPC),3,0.3
KANPUR,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",316,11.7
KANPUR,2010,Kidnapping & Abduction of women and girls,263,9.8
KANPUR,2010,Kidnapping & Abduction of others,53,2
KANPUR,2010,Dacoity (Sec. 395-398 IPC),10,0.4
KOCHI,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",8,0.6
KOCHI,2010,Kidnapping & Abduction of women and girls,5,0.4
KOCHI,2010,Kidnapping & Abduction of others,3,0.2
KOCHI,2010,Dacoity (Sec. 395-398 IPC),2,0.1
KOLKATA,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",125,0.9
KOLKATA,2010,Kidnapping & Abduction of women and girls,91,0.7
KOLKATA,2010,Kidnapping & Abduction of others,34,0.3
KOLKATA,2010,Dacoity (Sec. 395-398 IPC),0,0
LUCKNOW,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",251,11.1
LUCKNOW,2010,Kidnapping & Abduction of women and girls,246,10.9
LUCKNOW,2010,Kidnapping & Abduction of others,5,0.2
LUCKNOW,2010,Dacoity (Sec. 395-398 IPC),11,0.5
LUDHIANA,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",143,10.3
LUDHIANA,2010,Kidnapping & Abduction of women and girls,102,7.3
LUDHIANA,2010,Kidnapping & Abduction of others,41,2.9
LUDHIANA,2010,Dacoity (Sec. 395-398 IPC),5,0.4
MADURAI,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",15,1.3
MADURAI,2010,Kidnapping & Abduction of women and girls,9,0.8
MADURAI,2010,Kidnapping & Abduction of others,6,0.5
MADURAI,2010,Dacoity (Sec. 395-398 IPC),0,0
MEERUT,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",93,8
MEERUT,2010,Kidnapping & Abduction of women and girls,75,6.4
MEERUT,2010,Kidnapping & Abduction of others,18,1.5
MEERUT,2010,Dacoity (Sec. 395-398 IPC),4,0.3
MUMBAI,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",194,1.2
MUMBAI,2010,Kidnapping & Abduction of women and girls,146,0.9
MUMBAI,2010,Kidnapping & Abduction of others,48,0.3
MUMBAI,2010,Dacoity (Sec. 395-398 IPC),35,0.2
NAGPUR,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",57,2.7
NAGPUR,2010,Kidnapping & Abduction of women and girls,34,1.6
NAGPUR,2010,Kidnapping & Abduction of others,23,1.1
NAGPUR,2010,Dacoity (Sec. 395-398 IPC),13,0.6
NAS IK,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",27,2.3
NAS IK,2010,Kidnapping & Abduction of women and girls,19,1.6
NAS IK,2010,Kidnapping & Abduction of others,8,0.7
NAS IK,2010,Dacoity (Sec. 395-398 IPC),24,2.1
PATNA,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",183,10.7
PATNA,2010,Kidnapping & Abduction of women and girls,58,3.4
PATNA,2010,Kidnapping & Abduction of others,125,7.3
PATNA,2010,Dacoity (Sec. 395-398 IPC),15,0.9
PUNE,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",129,3.4
PUNE,2010,Kidnapping & Abduction of women and girls,94,2.5
PUNE,2010,Kidnapping & Abduction of others,35,0.9
PUNE,2010,Dacoity (Sec. 395-398 IPC),30,0.8
RAJKOT,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",39,3.9
RAJKOT,2010,Kidnapping & Abduction of women and girls,32,3.2
RAJKOT,2010,Kidnapping & Abduction of others,7,0.7
RAJKOT,2010,Dacoity (Sec. 395-398 IPC),9,0.9
SURAT,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",82,2.9
SURAT,2010,Kidnapping & Abduction of women and girls,63,2.2
SURAT,2010,Kidnapping & Abduction of others,19,0.7
SURAT,2010,Dacoity (Sec. 395-398 IPC),12,0.4
VADODARA,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",36,2.4
VADODARA,2010,Kidnapping & Abduction of women and girls,30,2
VADODARA,2010,Kidnapping & Abduction of others,6,0.4
VADODARA,2010,Dacoity (Sec. 395-398 IPC),9,0.6
VARANASI,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",48,4
VARANASI,2010,Kidnapping & Abduction of women and girls,34,2.8
VARANASI,2010,Kidnapping & Abduction of others,14,1.2
VARANASI,2010,Dacoity (Sec. 395-398 IPC),0,0
VIJAYAWADA,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",87,8.6
VIJAYAWADA,2010,Kidnapping & Abduction of women and girls,65,6.4
VIJAYAWADA,2010,Kidnapping & Abduction of others,22,2.2
VIJAYAWADA,2010,Dacoity (Sec. 395-398 IPC),3,0.3
VISHAKHAPATNAM,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",34,2.6
VISHAKHAPATNAM,2010,Kidnapping & Abduction of women and girls,24,1.8
VISHAKHAPATNAM,2010,Kidnapping & Abduction of others,10,0.8
VISHAKHAPATNAM,2010,Dacoity (Sec. 395-398 IPC),8,0.6
AGRA,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,0,0
AGRA,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",37,2.8
AGRA,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",132,10
AHMEDABAD,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,2,0
AHMEDABAD,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",805,17.8
AHMEDABAD,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",799,17.7
ALLAHABAD,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,0,0
ALLAHABAD,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",22,2.1
ALLAHABAD,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",129,12.3
AMRITSAR,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,18,1.8
AMRITSAR,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",9,0.9
AMRITSAR,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",83,8.2
ASANSOL,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,64,5.9
ASANSOL,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",5,0.5
ASANSOL,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",5,0.5
BENGALURU,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,246,4.3
BENGALURU,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",641,11.3
BENGALURU,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",1335,23.5
BHOPAL,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,1,0.1
BHOPAL,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",191,13.1
BHOPAL,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",844,58
CHENNAI,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,2,0
CHENNAI,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",74,1.2
CHENNAI,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",383,6
COIMBATORE,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,0,0
COIMBATORE,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",25,1.7
COIMBATORE,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",142,9.8
DELHI (CITY),2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,27,0.2
DELHI (CITY),2010,"Robbery (Sec. 392-394,397,398 IPC) I R",554,4.3
DELHI (CITY),2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",1355,10.6
DHANBAD,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,1,0.1
DHANBAD,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",11,1
DHANBAD,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",101,9.5
FARIDABAD,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,70,6.6
FARIDABAD,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",20,1.9
FARIDABAD,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",277,26.3
HYDERABAD,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,0,0
HYDERABAD,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",54,1
HYDERABAD,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",906,16.4
INDORE,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,12,0.7
INDORE,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",210,12.8
INDORE,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",689,42
JABALPUR,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,7,0.6
JABALPUR,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",52,4.7
JABALPUR,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",260,23.3
JAIPUR,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,10,0.4
JAIPUR,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",253,10.9
JAIPUR,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",774,33.3
JAMSHEDPUR,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,1,0.1
JAMSHEDPUR,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",25,2.3
JAMSHEDPUR,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",150,13.6
KANPUR,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,1,0
KANPUR,2010,"Robbery (Sec. 392-394,397,398 IPC) I R",81,3
KANPUR,2010,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",267,9.9
KOCHI,2010,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,15,1.1
