TABLE 2.2(Continued),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
S.No.,Cities,Cruelty By Husband or His Relatives *,,,Importation of Girls From Foreign Country *,,,Causing Death By Negligence,,,,,,,,
19,Indore,182,182,17.5,0,0,0.0,318,318,14.7,298,298,13.8,20,20,0.9
20,Jabalpur,163,163,27.0,0,0,0.0,145,145,11.4,136,136,10.7,9,9,0.7
21,Jaipur,1155,1155,79.4,0,0,0.0,802,918,26.1,799,915,26.0,3,3,0.1
22,Jamshedpur,85,85,13.3,0,0,0.0,98,99,7.3,91,92,6.8,7,7,0.5
23,Jodhpur,428,428,79.6,0,0,0.0,255,291,22.4,236,269,20.7,19,22,1.7
24,Kannur,89,91,10.1,0,0,0.0,68,73,4.1,68,73,4.1,0,0,0.0
25,Kanpur,440,440,33.0,0,0,0.0,192,192,6.6,192,192,6.6,0,0,0.0
26,Kochi,166,166,15.4,0,0,0.0,114,116,5.4,112,114,5.3,2,2,0.1
27,Kolkata,1141,1141,16.8,2,2,0.0,466,466,3.3,427,427,3.0,39,39,0.3
28,Kollam,296,296,51.0,0,0,0.0,181,181,16.3,181,181,16.3,0,0,0.0
29,Kota,538,538,114.0,0,0,0.0,119,119,11.9,115,115,11.5,4,4,0.4
30,Kozhikode,184,185,17.3,0,0,0.0,141,149,6.9,135,142,6.6,6,7,0.3
31,Lucknow,562,564,40.6,0,0,0.0,202,205,7.0,170,173,5.9,32,32,1.1
32,Ludhiana,158,158,21.4,0,0,0.0,240,240,14.9,240,240,14.9,0,0,0.0
33,Madurai,69,69,9.5,0,0,0.0,106,106,7.3,104,104,7.1,2,2,0.1
34,Malappuram,100,100,11.2,0,0,0.0,72,77,4.2,72,77,4.2,0,0,0.0
35,Meerut,399,399,59.6,0,0,0.0,179,194,12.6,179,194,12.6,0,0,0.0
36,Mumbai,563,563,6.6,0,0,0.0,584,595,3.2,528,536,2.9,56,59,0.3
37,Nagpur,234,234,19.1,0,0,0.0,316,316,12.7,316,316,12.7,0,0,0.0
38,Nasik,200,203,27.1,1,1,0.1,172,183,11.0,170,178,10.9,2,5,0.1
39,Patna,404,404,42.1,0,0,0.0,327,327,16.0,327,327,16.0,0,0,0.0
40,Pune,391,391,16.4,0,0,0.0,456,576,9.0,409,529,8.1,47,47,0.9
41,Raipur,83,83,15.3,0,0,0.0,145,145,12.9,119,119,10.6,26,26,2.3
42,Rajkot,301,301,45.6,0,0,0.0,142,147,10.2,137,142,9.8,5,5,0.4
43,Ranchi,92,92,17.0,1,1,0.2,82,82,7.3,82,82,7.3,0,0,0.0
44,Srinagar,63,63,10.6,0,0,0.0,51,51,4.0,51,51,4.0,0,0,0.0
45,Surat,405,405,20.5,0,0,0.0,244,261,5.3,244,261,5.3,0,0,0.0
46,Thiruvananthapuram,134,134,15.4,0,0,0.0,125,129,7.4,123,127,7.3,2,2,0.1
47,Thrissur,130,130,13.3,0,0,0.0,100,111,5.4,96,107,5.2,4,4,0.2
48,Tiruch irapalli,27,27,5.2,0,0,0.0,179,189,17.5,170,180,16.6,9,9,0.9
49,Vadodara,306,306,35.1,0,0,0.0,204,238,11.2,199,233,11.0,5,5,0.3
50,Varanasi,180,180,26.7,0,0,0.0,67,67,4.7,67,67,4.7,0,0,0.0
51,Vasai Virar,51,51,8.9,0,0,0.0,177,182,14.5,170,175,13.9,7,7,0.6
52,Vijayawada,642,642,86.8,0,0,0.0,312,312,20.9,312,312,20.9,0,0,0.0
53,Vishakhapatnam,371,371,43.4,0,0,0.0,360,360,20.8,353,353,20.4,7,7,0.4
,TOTAL CITIES,19687,19704,25.7,4,4,0.0,13960,14507,8.7,13037,13563,8.1,923,944,0.6
,,,,,,,,,,,,,,,,
"For women related crimes, the crime rate has been calculated using Female Population    TABLE    2.2-    Page:    19    of    22",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Col. 220 = Col 223+ Col. 226,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Col. 221 = Col 224+ Col. 227,,,,,,,,,,,,,,,,
